Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD
Constant,2,1,0.1,Simulation,0.0,0.156715
Constant,2,1,0.1,Statistical,4.537545207972841e-19,0.15575709350409217
Exponential,2,1,0.1,Simulation,0.0,0.345226
Exponential,2,1,0.1,Statistical,8.780956849895678e-20,0.34459000579638266
Constant,2,1,0.2,Simulation,0.0,0.178677
Constant,2,1,0.2,Statistical,1.6957244460300455e-15,0.1767514747984241
Exponential,2,1,0.2,Simulation,0.0,0.356253
Exponential,2,1,0.2,Statistical,3.35329699338172e-16,0.35612651361697767
Constant,2,1,0.3,Simulation,0.0,0.201177
Constant,2,1,0.3,Statistical,2.0002826216739596e-13,0.19822738165139867
Exponential,2,1,0.3,Simulation,0.0,0.368298
Exponential,2,1,0.3,Statistical,4.046912682508672e-14,0.3679238270021579
Constant,2,1,0.4,Simulation,0.0,0.224475
Constant,2,1,0.4,Statistical,5.720802490700132e-12,0.22008680361604066
Exponential,2,1,0.4,Simulation,0.0,0.381232
Exponential,2,1,0.4,Statistical,1.1855233957067694e-12,0.3799601787627096
Constant,2,1,0.5,Simulation,0.0,0.24659
Constant,2,1,0.5,Statistical,7.51514970108603e-11,0.24222674940321903
Exponential,2,1,0.5,Simulation,0.0,0.392188
Exponential,2,1,0.5,Statistical,1.596970039232558e-11,0.39221119116294373
Constant,2,1,0.6,Simulation,0.0,0.269606
Constant,2,1,0.6,Statistical,6.027534283557054e-10,0.2645414036123803
Exponential,2,1,0.6,Simulation,0.0,0.404872
Exponential,2,1,0.6,Statistical,1.3148182815821196e-10,0.4046500642105494
Constant,2,1,0.7,Simulation,0.0,0.293387
Constant,2,1,0.7,Statistical,3.4356451814997945e-09,0.2869243574698452
Exponential,2,1,0.7,Simulation,0.0,0.416599
Exponential,2,1,0.7,Statistical,7.700761596149054e-10,0.4172478240137552
Constant,2,1,0.8,Simulation,0.0,0.31753
Constant,2,1,0.8,Statistical,1.5237674736415188e-08,0.3092708106287116
Exponential,2,1,0.8,Simulation,0.0,0.4304
Exponential,2,1,0.8,Statistical,3.5127196776725537e-09,0.4299736271426038
Constant,2,1,0.9,Simulation,0.0,0.337697
Constant,2,1,0.9,Statistical,5.5754730193495e-08,0.33147964416390896
Exponential,2,1,0.9,Simulation,0.0,0.442534
Exponential,2,1,0.9,Statistical,1.3230323722586242e-08,0.44279511408255934
Constant,2,1,1.0,Simulation,0.0,0.359093
Constant,2,1,1.0,Statistical,1.7517066772108008e-07,0.3534552748693856
Exponential,2,1,1.0,Simulation,0.0,0.455588
Exponential,2,1,1.0,Statistical,4.2819388237901564e-08,0.45567880200600697
Constant,2,1,1.1,Simulation,1e-06,0.381814
Constant,2,1,1.1,Statistical,4.862466460646302e-07,0.3751092166827401
Exponential,2,1,1.1,Simulation,0.0,0.468816
Exponential,2,1,1.1,Statistical,1.2252148509830532e-07,0.46859050440186806
Constant,2,1,1.2,Simulation,4e-06,0.403496
Constant,2,1,1.2,Statistical,1.2179684627863769e-06,0.3963612949654897
Exponential,2,1,1.2,Simulation,1e-06,0.481195
Exponential,2,1,1.2,Statistical,3.165286965709569e-07,0.4814957628274119
Constant,2,1,1.3,Simulation,5e-06,0.423443
Constant,2,1,1.3,Statistical,2.7975362451174966e-06,0.4171404816864396
Exponential,2,1,1.3,Simulation,0.0,0.493239
Exponential,2,1,1.3,Statistical,7.501999955409575e-07,0.49436027443182146
Constant,2,1,1.4,Simulation,1.2e-05,0.442755
Constant,2,1,1.4,Statistical,5.966380728444771e-06,0.4373853425015412
Exponential,2,1,1.4,Simulation,0.0,0.507735
Exponential,2,1,1.4,Statistical,1.651572134480532e-06,0.5071502981898023
Constant,2,1,1.5,Simulation,1.8e-05,0.463085
Constant,2,1,1.5,Statistical,1.1933353064802025e-05,0.4570441086387682
Exponential,2,1,1.5,Simulation,2e-06,0.51952
Exponential,2,1,1.5,Statistical,3.410782418343331e-06,0.5198330231686538
Constant,2,1,1.6,Simulation,2.7e-05,0.481301
Constant,2,1,1.6,Statistical,2.256444305806692e-05,0.47607440596990774
Exponential,2,1,1.6,Simulation,1.5e-05,0.532399
Exponential,2,1,1.6,Statistical,6.66040575087008e-06,0.5323768837414905
Constant,2,1,1.7,Simulation,5.5e-05,0.501005
Constant,2,1,1.7,Statistical,4.06037168172181e-05,0.4944426895929247
Exponential,2,1,1.7,Simulation,1e-05,0.543919
Exponential,2,1,1.7,Statistical,1.2378485695811123e-05,0.5447518094462693
Constant,2,1,1.8,Simulation,0.000103,0.517624
Constant,2,1,1.8,Statistical,6.991520116103761e-05,0.512123443927622
Exponential,2,1,1.8,Simulation,2.2e-05,0.556986
Exponential,2,1,1.8,Statistical,2.201423456719775e-05,0.5569294010399471
Constant,2,1,1.9,Simulation,0.000132,0.533642
Constant,2,1,1.9,Statistical,0.00011573084433721602,0.5290982153774358
Exponential,2,1,1.9,Simulation,3.3e-05,0.567546
Exponential,2,1,1.9,Statistical,3.763410687613291e-05,0.5688830289496306
Constant,2,1,2.0,Simulation,0.000248,0.549365
Constant,2,1,2.0,Statistical,0.00018488610215749388,0.545354547009392
Exponential,2,1,2.0,Simulation,5e-05,0.580739
Exponential,2,1,2.0,Statistical,6.208341207280078e-05,0.5805878554152664
Constant,2,1,2.1,Simulation,0.000401,0.563133
Constant,2,1,2.1,Statistical,0.000286022673780309,0.5608848827346556
Exponential,2,1,2.1,Simulation,9.2e-05,0.59244
Exponential,2,1,2.1,Statistical,9.915608527476905e-05,0.5920207867229811
Constant,2,1,2.2,Simulation,0.000513,0.57905
Constant,2,1,2.2,Statistical,0.0004297377924953203,0.5756855026661326
